system:index,date,pdd_degCday,precip_mm,precip_volume_m3,snowfall_mm_we,snowfall_volume_m3,source,ssrd_wm2,t2m_C,timestamp,.geo
2580,2007-01-24,1.6378523692594875,57.40580601731668,9735591.89227645,0.061824137162079636,10484.907542637166,ERA5-Land Daily,5417.180489179386,1.6378523692594875,1169596800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2581,2007-01-25,0.6295603982313657,94.70560132565306,1.6061355956591994E7,30.421251640480115,5159214.9186899215,ERA5-Land Daily,2470.6654773404275,0.6295603982313657,1169683200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2582,2007-01-26,0.28901426607672775,30.351334528411396,5147357.503619705,2.430779652882027,412241.9023847546,ERA5-Land Daily,4898.761156575919,0.28901426607672775,1169769600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2583,2007-01-27,1.9679457508534486,16.734405769827315,2838029.050330724,0.08140893767397042,13806.342050810423,ERA5-Land Daily,5102.734831628271,1.9679457508534486,1169856000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2584,2007-01-28,2.4651703093624358,94.68205386980705,1.6057362485615399E7,0.3688296207160541,62550.722900597255,ERA5-Land Daily,3535.5855500484395,2.4651703093624358,1169942400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2585,2007-01-29,0.2196907410206784,54.77641568135209,9289667.115456402,1.4321065945361604,242874.48113586457,ERA5-Land Daily,3597.8500066006154,0.2196907410206784,1170028800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2586,2007-01-30,1.2084119568533818,61.13685625016271,1.03683498816968E7,13.469722820157187,2284363.4359837365,ERA5-Land Daily,2430.7790708813536,1.2084119568533818,1170115200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2587,2007-01-31,0.3137630886681919,15.302871084470132,2595251.5606797333,1.0277816009793348,174304.01061709604,ERA5-Land Daily,4671.3314610871175,0.3137630886681919,1170201600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2588,2007-02-01,0.20779131401502945,20.123847643593795,3412852.837590661,1.9038827412149844,322884.15867946146,ERA5-Land Daily,4715.259771843816,0.20779131401502945,1170288000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2589,2007-02-02,1.9497191736320925,12.448205358045337,2111121.776090398,0.07306490446596614,12391.256928162247,ERA5-Land Daily,4403.828882967059,1.9497191736320925,1170374400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2590,2007-02-03,3.3093090225551904,6.371330449418145,1080529.607887714,0.0,0.0,ERA5-Land Daily,1803.0568192265032,3.3093090225551904,1170460800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2591,2007-02-04,2.5658664602943073,5.258441944876245,891792.1080857343,0.0,0.0,ERA5-Land Daily,2693.7996465416895,2.5658664602943073,1170547200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2592,2007-02-05,2.0572459325679313,23.44097445215014,3975412.5350068486,0.0,0.0,ERA5-Land Daily,4052.2849441464527,2.0572459325679313,1170633600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2593,2007-02-06,2.3606983559472754,11.017759533437395,1868528.9490130658,0.0,0.0,ERA5-Land Daily,3188.4613978902553,2.3606983559472754,1170720000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
