date,albedo_i1,albedo_i2,albedo_i3,albedo_broadband,product,source
2017-04-14,0.49211156688641183,0.43793940389461855,0.07735178203099183,0.32722950778428145,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-04-15,0.46424275600698045,0.4038464537666535,0.0777747694473006,0.3077683365708896,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-04-16,0.4590437368751839,0.40871326581946316,0.08433789995061308,0.3110108138235757,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-04-17,0.47272573959315917,0.41876236850988785,0.06623398842269217,0.310289000802409,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-04-18,0.49002039699805944,0.43384270810638204,0.06763107712485635,0.32081820339858064,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-04-19,0.5015579322169298,0.45752577504251424,0.07657755678659976,0.33065969726211036,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-04-20,0.527597017877684,0.46451332032557635,0.06614240063271402,0.3430288078870827,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-04-21,0.5325260279923003,0.46991708492090933,0.06536373333847985,0.34657492092792425,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-04-22,0.5192846167667716,0.4555716038101086,0.0637234502583491,0.33600156971766265,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-04-23,0.5308755724502017,0.46764164690155563,0.06489430577637115,0.3447831914900891,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-04-24,0.5110440348700784,0.47435146416536395,0.0768802891980193,0.3333087388083615,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-04-25,0.49406996770654893,0.45849002318585835,0.08468607023946143,0.32433827510663266,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-04-26,0.5132490367372391,0.45973949402469366,0.07821848289528636,0.33373928604791536,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-04-27,0.5056208088329285,0.4738700511225857,0.08056969894533768,0.3314444204590797,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-04-28,0.5028726358106445,0.47243741941764206,0.07602785518559896,0.3271106316345181,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-04-29,0.5102293080458999,0.47345584902532206,0.07644119226642357,0.3320733196926453,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-04-30,0.5079829135794958,0.4731990684223072,0.07747624556547371,0.3331415004799566,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-05-01,0.5015328597818589,0.46446752565545674,0.07478028473374365,0.3291006569938966,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-05-02,0.4913933096055943,0.4648547925339775,0.0780220991239829,0.3275215407748895,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-05-03,0.46251516192765824,0.45928975823283147,0.1003684589480099,0.31428617430432726,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-05-04,0.4665502109095638,0.46645232012133914,0.08369806540752911,0.3243147921957685,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-05-05,0.44664985080356934,0.4465798930140321,0.09554909898599023,0.31214882591065346,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-05-06,0.45308554023826025,0.4543422025362735,0.09532958003369228,0.3119446537314131,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-05-07,0.42349149292229654,0.3921772404198385,0.10107722296559707,0.289095950966301,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-05-08,0.444380656415307,0.44620877958365707,0.09551281982486716,0.30718130974276137,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-05-09,0.42214983874100775,0.43453614033824767,0.09078981874772808,0.29344576719034143,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-05-10,0.4230513029597533,0.4061175817785278,0.09397104674270783,0.2885870806887023,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-05-11,0.45408485789048586,0.42410869395203205,0.0876682831597145,0.29934452036281595,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-05-12,0.4325645868870824,0.4236804666939167,0.09901936989559791,0.2939356029632097,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-05-13,0.43364655661732154,0.4325181012994814,0.09911858651887483,0.2985451019462001,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-05-14,0.42731471736321236,0.42472048962196646,0.0992331516996722,0.29204749404780106,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-05-15,0.4275338368935094,0.417669703792718,0.09593513469823657,0.2896482027563583,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-05-16,0.3892487775673922,0.3906870955371488,0.062031248069932016,0.25699861397320384,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-05-17,0.3615084438781768,0.3728093028281389,0.056272559459813846,0.23409960182953285,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-05-18,0.3586500836145718,0.36791822420329845,0.054313979508663346,0.23457502318666562,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-05-19,0.3597921980424433,0.35647458186986475,0.05460405866632558,0.2340418727932419,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-05-20,0.37288098034196304,0.3088306272785346,0.09071412953312548,0.25375683745409466,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-05-21,0.37579790580059513,0.3242089032354868,0.07616092578357662,0.253911927694076,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-05-22,0.28429435319637225,0.25712518905572435,0.06713797919453827,0.19002880458560692,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-05-23,0.2992487574046769,0.26988294890015163,0.09261185923960544,0.19678210300165663,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-05-24,0.29327413238337996,0.2662963225480003,0.06936413459592196,0.19685345194711193,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-05-25,0.28507336298303737,0.2530775460117883,0.0914286783633591,0.18835465833672296,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-05-26,0.2504323027210426,0.210534255881556,0.049656075562614053,0.15559534473824657,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-05-27,0.2516405794928788,0.2219607607429174,0.05033992527436251,0.15859211288027303,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-05-28,0.2968629319644788,0.2622141468449243,0.04817874072037414,0.18927482044173172,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-05-29,0.29842840369288115,0.2635681212649269,0.048452752529780284,0.1903303456322989,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-05-30,0.29592752668957467,0.2623996599473973,0.04854477550675018,0.18876421207035343,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-05-31,0.4081426852163327,0.3467118617216162,0.07662156074036773,0.2671927034755771,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-06-01,0.6743544649159948,0.5864243634846555,0.16591222027990754,0.464612949437855,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-06-02,0.6716189997980513,0.5832382280037638,0.1639486499643733,0.4624014137105204,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-06-03,0.6441293074148559,0.5601594530862243,0.16095736529449833,0.4405486034397607,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-06-04,0.6648292725742974,0.5679204342200334,0.16665766729435286,0.45108791943986537,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-06-05,0.6427401956268884,0.5566886537307635,0.15588682202355741,0.4387551125687311,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-06-06,0.4780530138733531,0.3387175409710728,0.17374126014619187,0.32520381312347013,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-06-07,0.47989829236829223,0.3609978249132469,0.16287139027370975,0.32377138503604125,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-06-08,0.4448761128828709,0.35869185895210476,0.14692020817332108,0.3025695255594919,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-06-09,0.43837493713283543,0.35033109095300086,0.14816467811296927,0.2966984769206527,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-06-10,0.5072873331598831,0.3588801144570032,0.15595746031447982,0.32324328580586703,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-06-11,0.5515198239458708,0.42088535099937807,0.13881907013813355,0.3642293106593693,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-06-12,0.5518709181743914,0.42147077739304517,0.13392216127340975,0.36447276873816603,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-06-13,0.5341322599516972,0.4098317543277514,0.12850024240252864,0.3545030598330888,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-06-14,0.5586142508652652,0.42344694244039766,0.13670137293940335,0.36750027220673515,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-06-15,0.5618175209313421,0.42468450861819607,0.13530246684443092,0.3669300342251862,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-06-16,0.5199789522525374,0.39589678056273286,0.13377571063322558,0.3414686474513558,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
