"sensor","year","month","mean_albedo","date","mean_temp","total_precip","total_snowfall","mean_radiation","season_sin","season_cos","time_trend"
"VIIRS",2015,11,0.412531280809291,2015-11-01,-1.22851732004437,1303.93182087127,459.270423692593,4119.70094083192,-0.5,0.866025403784438,3.83299110198494
"VIIRS",2015,12,0.412829371507118,2015-12-01,0.432819847936661,992.102632226749,277.116016089543,4302.87347103698,-2.44929359829471e-16,1,3.9151266255989
"VIIRS",2016,1,0.371119362984989,2016-01-01,2.043714624901,1242.9420916013,167.691790119642,3691.45428154267,0.5,0.866025403784439,4
"VIIRS",2016,2,0.341896171204448,2016-02-01,2.53035322976211,655.910588012516,46.0175351714439,2735.19745981333,0.866025403784439,0.5,4.0848733744011
"VIIRS",2016,3,0.293753325630822,2016-03-01,2.2247465497042,781.943147165698,15.356533045779,1619.75128867919,1,6.12323399573677e-17,4.16427104722793
"VIIRS",2016,4,0.312730802864268,2016-04-01,2.00686357051941,1387.66345740273,112.286014910094,1076.0062950583,0.866025403784439,-0.5,4.24914442162902
"VIIRS",2016,5,0.241949764137516,2016-05-01,-1.38288139301864,1555.5315412309,929.941001358797,668.042502488142,0.5,-0.866025403784439,4.33127994524298
"VIIRS",2016,6,0.168068779804282,2016-06-01,-0.423436710498585,1380.94357592392,627.310321484132,412.578288690827,1.22464679914735e-16,-1,4.41615331964408
"VIIRS",2016,7,0.297368418777734,2016-07-01,-0.832983314161143,1397.78293801683,820.592082156277,517.512687268761,-0.5,-0.866025403784439,4.49828884325804
"VIIRS",2016,8,0.341691106157986,2016-08-01,-2.50949152540785,1443.52894670659,1078.73527743122,1068.7558398435,-0.866025403784438,-0.5,4.58316221765914
"VIIRS",2016,9,0.337854691569744,2016-09-01,-1.34688771603806,1281.03971223217,609.164895820752,1554.87838607381,-1,-1.83697019872103e-16,4.66803559206023
"VIIRS",2016,10,0.387029126175752,2016-10-01,-0.542666530120005,1250.7861580206,534.706729182275,2587.19143986481,-0.866025403784439,0.5,4.7501711156742
"VIIRS",2016,11,0.405243227168251,2016-11-01,0.0914883885674554,1093.12747306188,246.248953093124,4070.06875579782,-0.5,0.866025403784438,4.83504449007529
"VIIRS",2016,12,0.338944383477595,2016-12-01,1.12997447924717,1268.8362992206,271.925917014605,4229.93185874683,-2.44929359829471e-16,1,4.91718001368925
"VIIRS",2017,1,0.405972209037681,2017-01-01,1.98392240634616,981.014052358271,73.1151575484025,3889.4433491697,0.5,0.866025403784439,5.00205338809035
"VIIRS",2017,2,0.359659495633832,2017-02-01,3.26384080294861,1212.9419393896,288.547453832057,2823.12006484202,0.866025403784439,0.5,5.08692676249144
"VIIRS",2017,3,0.322015945194532,2017-03-01,2.29828619235209,1317.75522831476,53.4314124012391,1771.46450742107,1,6.12323399573677e-17,5.16358658453114
"VIIRS",2017,4,0.322163361106449,2017-04-01,1.25606468009125,1369.72871975802,143.897075329785,1302.10683224723,0.866025403784439,-0.5,5.24845995893224
"VIIRS",2017,5,0.256783874471478,2017-05-01,-0.215540245295537,1496.495464181,587.571472356987,654.232648994827,0.5,-0.866025403784439,5.3305954825462
"VIIRS",2017,6,0.326318469407706,2017-06-01,-0.316816200503852,1360.52265018268,697.390967955103,387.030640313828,1.22464679914735e-16,-1,5.4154688569473
